1904  1  -0.5777   0.128
1904  2  -0.4698   0.128
1904  3  -0.5196   0.153
1904  4  -0.4680   0.142
1904  5  -0.4380   0.143
1904  6  -0.4241   0.169
1904  7  -0.4353   0.167
1904  8  -0.4170   0.166
1904  9  -0.4372   0.134
1904 10  -0.3735   0.158
1904 11  -0.1890   0.175
1904 12  -0.2181   0.144
1905  1  -0.3110   0.141
1905  2  -0.6381   0.142
1905  3  -0.4145   0.160
1905  4  -0.4123   0.157
1905  5  -0.2630   0.150
1905  6  -0.2564   0.150
1905  7  -0.2271   0.174
1905  8  -0.2417   0.143
1905  9  -0.2348   0.152
1905 10  -0.2947   0.148
1905 11  -0.1038   0.146
1905 12  -0.1484   0.162
1906  1  -0.1737   0.154
1906  2  -0.2422   0.133
1906  3  -0.1785   0.137
1906  4  -0.0955   0.145
1906  5  -0.2188   0.147
1906  6  -0.1942   0.126
1906  7  -0.2858   0.168
1906  8  -0.2699   0.144
1906  9  -0.3222   0.165
1906 10  -0.3199   0.159
1906 11  -0.4398   0.133
1906 12  -0.1851   0.125
1907  1  -0.3657   0.165
1907  2  -0.4152   0.162
1907  3  -0.3239   0.144
1907  4  -0.3962   0.151
1907  5  -0.5000   0.127
1907  6  -0.3958   0.152
1907  7  -0.3742   0.129
1907  8  -0.2983   0.142
1907  9  -0.3234   0.154
1907 10  -0.3067   0.170
1907 11  -0.5282   0.165
1907 12  -0.4078   0.126
1908  1  -0.3750   0.137
1908  2  -0.4012   0.128
1908  3  -0.5980   0.155
1908  4  -0.4711   0.135
1908  5  -0.3678   0.158
1908  6  -0.4081   0.130
1908  7  -0.4074   0.153
1908  8  -0.4532   0.134
1908  9  -0.3656   0.128
1908 10  -0.4956   0.143
1908 11  -0.4761   0.142
1908 12  -0.3814   0.151
1909  1  -0.5455   0.162
1909  2  -0.4674   0.171
1909  3  -0.5208   0.127
1909  4  -0.5419   0.166
1909  5  -0.4639   0.152
1909  6  -0.4534   0.155
1909  7  -0.4152   0.135
1909  8  -0.3087   0.138
1909  9  -0.3444   0.153
1909 10  -0.4064   0.162
1909 11  -0.2950   0.130
1909 12  -0.4756   0.151
